country,method,dimension,predicted_score,gold_score
Bangladesh,fc,IDV,49.0,20
Bangladesh,fc,IVR,49.0,20
Bangladesh,fc,LTO,54.0,47
Bangladesh,fc,MAS,49.0,55
Bangladesh,fc,PDI,52.0,80
Bangladesh,fc,UAI,52.0,60
Bangladesh,fo,IDV,50.0,20
Bangladesh,fo,IVR,50.0,20
Bangladesh,fo,LTO,50.0,47
Bangladesh,fo,MAS,50.0,55
Bangladesh,fo,PDI,51.0,80
Bangladesh,fo,UAI,52.0,60
Bangladesh,fr,IDV,100.0,20
Bangladesh,fr,IVR,47.0,20
Bangladesh,fr,LTO,54.0,47
Bangladesh,fr,MAS,48.0,55
Bangladesh,fr,PDI,100.0,80
Bangladesh,fr,UAI,100.0,60
Bangladesh,fu,IDV,50.0,20
Bangladesh,fu,IVR,48.0,20
Bangladesh,fu,LTO,50.0,47
Bangladesh,fu,MAS,55.0,55
Bangladesh,fu,PDI,50.0,80
Bangladesh,fu,UAI,52.0,60
Germany,fc,IDV,49.0,67
Germany,fc,IVR,49.0,40
Germany,fc,LTO,54.0,83
Germany,fc,MAS,50.0,66
Germany,fc,PDI,50.0,35
Germany,fc,UAI,51.0,65
Germany,fo,IDV,50.0,67
Germany,fo,IVR,51.0,40
Germany,fo,LTO,50.0,83
Germany,fo,MAS,49.0,66
Germany,fo,PDI,51.0,35
Germany,fo,UAI,52.0,65
Germany,fr,IDV,48.0,67
Germany,fr,IVR,49.0,40
Germany,fr,LTO,55.0,83
Germany,fr,MAS,49.0,66
Germany,fr,PDI,100.0,35
Germany,fr,UAI,50.0,65
Germany,fu,IDV,52.0,67
Germany,fu,IVR,50.0,40
Germany,fu,LTO,50.0,83
Germany,fu,MAS,50.0,66
Germany,fu,PDI,48.0,35
Germany,fu,UAI,60.0,65
USA,fc,IDV,49.0,91
USA,fc,IVR,49.0,68
USA,fc,LTO,53.0,26
USA,fc,MAS,51.0,62
USA,fc,PDI,50.0,40
USA,fc,UAI,51.0,46
USA,fo,IDV,49.0,91
USA,fo,IVR,50.0,68
USA,fo,LTO,50.0,26
USA,fo,MAS,50.0,62
USA,fo,PDI,52.0,40
USA,fo,UAI,52.0,46
USA,fr,IDV,100.0,91
USA,fr,IVR,49.0,68
USA,fr,LTO,54.0,26
USA,fr,MAS,50.0,62
USA,fr,PDI,47.0,40
USA,fr,UAI,51.0,46
USA,fu,IDV,52.0,91
USA,fu,IVR,50.0,68
USA,fu,LTO,45.0,26
USA,fu,MAS,50.0,62
USA,fu,PDI,47.0,40
USA,fu,UAI,55.0,46
