question_id,dimension,formula_role,country,method,score
PDI_A,PDI,A,Germany,fc,3.0
PDI_A,PDI,A,Germany,fr,5.0
PDI_A,PDI,A,Germany,fo,4.0
PDI_A,PDI,A,Germany,fu,5.0
PDI_A,PDI,A,USA,fc,3.0
PDI_A,PDI,A,USA,fr,2.0
PDI_A,PDI,A,USA,fo,5.0
PDI_A,PDI,A,USA,fu,4.0
PDI_A,PDI,A,Bangladesh,fc,5.0
PDI_A,PDI,A,Bangladesh,fr,4.0
PDI_A,PDI,A,Bangladesh,fo,5.0
PDI_A,PDI,A,Bangladesh,fu,2.0
PDI_B,PDI,B,Germany,fc,3.0
PDI_B,PDI,B,Germany,fr,5.0
PDI_B,PDI,B,Germany,fo,5.0
PDI_B,PDI,B,Germany,fu,4.0
PDI_B,PDI,B,USA,fc,3.0
PDI_B,PDI,B,USA,fr,5.0
PDI_B,PDI,B,USA,fo,5.0
PDI_B,PDI,B,USA,fu,4.0
PDI_B,PDI,B,Bangladesh,fc,2.0
PDI_B,PDI,B,Bangladesh,fr,5.0
PDI_B,PDI,B,Bangladesh,fo,5.0
PDI_B,PDI,B,Bangladesh,fu,5.0
PDI_C,PDI,C,Germany,fc,2.0
PDI_C,PDI,C,Germany,fr,5.0
PDI_C,PDI,C,Germany,fo,5.0
PDI_C,PDI,C,Germany,fu,2.0
PDI_C,PDI,C,USA,fc,3.0
PDI_C,PDI,C,USA,fr,5.0
PDI_C,PDI,C,USA,fo,5.0
PDI_C,PDI,C,USA,fu,5.0
PDI_C,PDI,C,Bangladesh,fc,3.0
PDI_C,PDI,C,Bangladesh,fr,5.0
PDI_C,PDI,C,Bangladesh,fo,5.0
PDI_C,PDI,C,Bangladesh,fu,4.0
PDI_D,PDI,D,Germany,fc,3.0
PDI_D,PDI,D,Germany,fr,5.0
PDI_D,PDI,D,Germany,fo,4.0
PDI_D,PDI,D,Germany,fu,5.0
PDI_D,PDI,D,USA,fc,3.0
PDI_D,PDI,D,USA,fr,1.0
PDI_D,PDI,D,USA,fo,5.0
PDI_D,PDI,D,USA,fu,4.0
PDI_D,PDI,D,Bangladesh,fc,5.0
PDI_D,PDI,D,Bangladesh,fr,2.0
PDI_D,PDI,D,Bangladesh,fo,2.0
PDI_D,PDI,D,Bangladesh,fu,5.0
IDV_A,IDV,A,Germany,fc,3.0
IDV_A,IDV,A,Germany,fr,1.0
IDV_A,IDV,A,Germany,fo,5.0
IDV_A,IDV,A,Germany,fu,5.0
IDV_A,IDV,A,USA,fc,4.0
IDV_A,IDV,A,USA,fr,4.0
IDV_A,IDV,A,USA,fo,5.0
IDV_A,IDV,A,USA,fu,5.0
IDV_A,IDV,A,Bangladesh,fc,4.0
IDV_A,IDV,A,Bangladesh,fr,2.0
IDV_A,IDV,A,Bangladesh,fo,5.0
IDV_A,IDV,A,Bangladesh,fu,4.0
IDV_B,IDV,B,Germany,fc,5.0
IDV_B,IDV,B,Germany,fr,1.0
IDV_B,IDV,B,Germany,fo,5.0
IDV_B,IDV,B,Germany,fu,5.0
IDV_B,IDV,B,USA,fc,4.0
IDV_B,IDV,B,USA,fr,1.0
IDV_B,IDV,B,USA,fo,5.0
IDV_B,IDV,B,USA,fu,5.0
IDV_B,IDV,B,Bangladesh,fc,4.0
IDV_B,IDV,B,Bangladesh,fr,1.0
IDV_B,IDV,B,Bangladesh,fo,5.0
IDV_B,IDV,B,Bangladesh,fu,3.0
IDV_C,IDV,C,Germany,fc,4.0
IDV_C,IDV,C,Germany,fr,2.0
IDV_C,IDV,C,Germany,fo,5.0
IDV_C,IDV,C,Germany,fu,5.0
IDV_C,IDV,C,USA,fc,3.0
IDV_C,IDV,C,USA,fr,4.0
IDV_C,IDV,C,USA,fo,5.0
IDV_C,IDV,C,USA,fu,5.0
IDV_C,IDV,C,Bangladesh,fc,5.0
IDV_C,IDV,C,Bangladesh,fr,3.0
IDV_C,IDV,C,Bangladesh,fo,5.0
IDV_C,IDV,C,Bangladesh,fu,0.0
IDV_D,IDV,D,Germany,fc,3.0
IDV_D,IDV,D,Germany,fr,5.0
IDV_D,IDV,D,Germany,fo,4.0
IDV_D,IDV,D,Germany,fu,5.0
IDV_D,IDV,D,USA,fc,3.0
IDV_D,IDV,D,USA,fr,5.0
IDV_D,IDV,D,USA,fo,5.0
IDV_D,IDV,D,USA,fu,5.0
IDV_D,IDV,D,Bangladesh,fc,3.0
IDV_D,IDV,D,Bangladesh,fr,3.0
IDV_D,IDV,D,Bangladesh,fo,5.0
IDV_D,IDV,D,Bangladesh,fu,3.0
MAS_A,MAS,A,Germany,fc,3.0
MAS_A,MAS,A,Germany,fr,1.0
MAS_A,MAS,A,Germany,fo,5.0
MAS_A,MAS,A,Germany,fu,4.0
MAS_A,MAS,A,USA,fc,4.0
MAS_A,MAS,A,USA,fr,3.0
MAS_A,MAS,A,USA,fo,5.0
MAS_A,MAS,A,USA,fu,5.0
MAS_A,MAS,A,Bangladesh,fc,4.0
MAS_A,MAS,A,Bangladesh,fr,1.0
MAS_A,MAS,A,Bangladesh,fo,5.0
MAS_A,MAS,A,Bangladesh,fu,5.0
MAS_B,MAS,B,Germany,fc,4.0
MAS_B,MAS,B,Germany,fr,1.0
MAS_B,MAS,B,Germany,fo,5.0
MAS_B,MAS,B,Germany,fu,5.0
MAS_B,MAS,B,USA,fc,4.0
MAS_B,MAS,B,USA,fr,2.0
MAS_B,MAS,B,USA,fo,5.0
MAS_B,MAS,B,USA,fu,5.0
MAS_B,MAS,B,Bangladesh,fc,4.0
MAS_B,MAS,B,Bangladesh,fr,2.0
MAS_B,MAS,B,Bangladesh,fo,5.0
MAS_B,MAS,B,Bangladesh,fu,4.0
MAS_C,MAS,C,Germany,fc,4.0
MAS_C,MAS,C,Germany,fr,5.0
MAS_C,MAS,C,Germany,fo,5.0
MAS_C,MAS,C,Germany,fu,5.0
MAS_C,MAS,C,USA,fc,4.0
MAS_C,MAS,C,USA,fr,1.0
MAS_C,MAS,C,USA,fo,5.0
MAS_C,MAS,C,USA,fu,5.0
MAS_C,MAS,C,Bangladesh,fc,4.0
MAS_C,MAS,C,Bangladesh,fr,1.0
MAS_C,MAS,C,Bangladesh,fo,5.0
MAS_C,MAS,C,Bangladesh,fu,4.0
MAS_D,MAS,D,Germany,fc,4.0
MAS_D,MAS,D,Germany,fr,1.0
MAS_D,MAS,D,Germany,fo,5.0
MAS_D,MAS,D,Germany,fu,5.0
MAS_D,MAS,D,USA,fc,5.0
MAS_D,MAS,D,USA,fr,4.0
MAS_D,MAS,D,USA,fo,5.0
MAS_D,MAS,D,USA,fu,5.0
MAS_D,MAS,D,Bangladesh,fc,4.0
MAS_D,MAS,D,Bangladesh,fr,2.0
MAS_D,MAS,D,Bangladesh,fo,5.0
MAS_D,MAS,D,Bangladesh,fu,5.0
UAI_A,UAI,A,Germany,fc,3.0
UAI_A,UAI,A,Germany,fr,2.0
UAI_A,UAI,A,Germany,fo,4.0
UAI_A,UAI,A,Germany,fu,5.0
UAI_A,UAI,A,USA,fc,4.0
UAI_A,UAI,A,USA,fr,5.0
UAI_A,UAI,A,USA,fo,4.0
UAI_A,UAI,A,USA,fu,5.0
UAI_A,UAI,A,Bangladesh,fc,3.0
UAI_A,UAI,A,Bangladesh,fr,1.0
UAI_A,UAI,A,Bangladesh,fo,4.0
UAI_A,UAI,A,Bangladesh,fu,3.0
UAI_B,UAI,B,Germany,fc,5.0
UAI_B,UAI,B,Germany,fr,1.0
UAI_B,UAI,B,Germany,fo,5.0
UAI_B,UAI,B,Germany,fu,5.0
UAI_B,UAI,B,USA,fc,4.0
UAI_B,UAI,B,USA,fr,1.0
UAI_B,UAI,B,USA,fo,5.0
UAI_B,UAI,B,USA,fu,5.0
UAI_B,UAI,B,Bangladesh,fc,
UAI_B,UAI,B,Bangladesh,fr,2.0
UAI_B,UAI,B,Bangladesh,fo,5.0
UAI_B,UAI,B,Bangladesh,fu,5.0
UAI_C,UAI,C,Germany,fc,4.0
UAI_C,UAI,C,Germany,fr,1.0
UAI_C,UAI,C,Germany,fo,4.0
UAI_C,UAI,C,Germany,fu,5.0
UAI_C,UAI,C,USA,fc,3.0
UAI_C,UAI,C,USA,fr,5.0
UAI_C,UAI,C,USA,fo,5.0
UAI_C,UAI,C,USA,fu,5.0
UAI_C,UAI,C,Bangladesh,fc,3.0
UAI_C,UAI,C,Bangladesh,fr,2.0
UAI_C,UAI,C,Bangladesh,fo,5.0
UAI_C,UAI,C,Bangladesh,fu,4.0
UAI_D,UAI,D,Germany,fc,4.0
UAI_D,UAI,D,Germany,fr,1.0
UAI_D,UAI,D,Germany,fo,5.0
UAI_D,UAI,D,Germany,fu,5.0
UAI_D,UAI,D,USA,fc,3.0
UAI_D,UAI,D,USA,fr,3.0
UAI_D,UAI,D,USA,fo,5.0
UAI_D,UAI,D,USA,fu,5.0
UAI_D,UAI,D,Bangladesh,fc,4.0
UAI_D,UAI,D,Bangladesh,fr,2.0
UAI_D,UAI,D,Bangladesh,fo,5.0
UAI_D,UAI,D,Bangladesh,fu,5.0
LTO_A,LTO,A,Germany,fc,5.0
LTO_A,LTO,A,Germany,fr,1.0
LTO_A,LTO,A,Germany,fo,5.0
LTO_A,LTO,A,Germany,fu,5.0
LTO_A,LTO,A,USA,fc,4.0
LTO_A,LTO,A,USA,fr,5.0
LTO_A,LTO,A,USA,fo,5.0
LTO_A,LTO,A,USA,fu,5.0
LTO_A,LTO,A,Bangladesh,fc,4.0
LTO_A,LTO,A,Bangladesh,fr,1.0
LTO_A,LTO,A,Bangladesh,fo,5.0
LTO_A,LTO,A,Bangladesh,fu,5.0
LTO_B,LTO,B,Germany,fc,3.0
LTO_B,LTO,B,Germany,fr,1.0
LTO_B,LTO,B,Germany,fo,5.0
LTO_B,LTO,B,Germany,fu,4.0
LTO_B,LTO,B,USA,fc,4.0
LTO_B,LTO,B,USA,fr,5.0
LTO_B,LTO,B,USA,fo,5.0
LTO_B,LTO,B,USA,fu,5.0
LTO_B,LTO,B,Bangladesh,fc,5.0
LTO_B,LTO,B,Bangladesh,fr,3.0
LTO_B,LTO,B,Bangladesh,fo,5.0
LTO_B,LTO,B,Bangladesh,fu,5.0
LTO_C,LTO,C,Germany,fc,2.0
LTO_C,LTO,C,Germany,fr,1.0
LTO_C,LTO,C,Germany,fo,5.0
LTO_C,LTO,C,Germany,fu,5.0
LTO_C,LTO,C,USA,fc,4.0
LTO_C,LTO,C,USA,fr,1.0
LTO_C,LTO,C,USA,fo,5.0
LTO_C,LTO,C,USA,fu,5.0
LTO_C,LTO,C,Bangladesh,fc,3.0
LTO_C,LTO,C,Bangladesh,fr,1.0
LTO_C,LTO,C,Bangladesh,fo,5.0
LTO_C,LTO,C,Bangladesh,fu,5.0
LTO_D,LTO,D,Germany,fc,1.0
LTO_D,LTO,D,Germany,fr,1.0
LTO_D,LTO,D,Germany,fo,5.0
LTO_D,LTO,D,Germany,fu,5.0
LTO_D,LTO,D,USA,fc,2.0
LTO_D,LTO,D,USA,fr,4.0
LTO_D,LTO,D,USA,fo,5.0
LTO_D,LTO,D,USA,fu,5.0
LTO_D,LTO,D,Bangladesh,fc,
LTO_D,LTO,D,Bangladesh,fr,3.0
LTO_D,LTO,D,Bangladesh,fo,5.0
LTO_D,LTO,D,Bangladesh,fu,5.0
IVR_A,IVR,A,Germany,fc,3.0
IVR_A,IVR,A,Germany,fr,1.0
IVR_A,IVR,A,Germany,fo,5.0
IVR_A,IVR,A,Germany,fu,5.0
IVR_A,IVR,A,USA,fc,4.0
IVR_A,IVR,A,USA,fr,3.0
IVR_A,IVR,A,USA,fo,5.0
IVR_A,IVR,A,USA,fu,5.0
IVR_A,IVR,A,Bangladesh,fc,
IVR_A,IVR,A,Bangladesh,fr,2.0
IVR_A,IVR,A,Bangladesh,fo,5.0
IVR_A,IVR,A,Bangladesh,fu,5.0
IVR_B,IVR,B,Germany,fc,4.0
IVR_B,IVR,B,Germany,fr,1.0
IVR_B,IVR,B,Germany,fo,5.0
IVR_B,IVR,B,Germany,fu,5.0
IVR_B,IVR,B,USA,fc,4.0
IVR_B,IVR,B,USA,fr,3.0
IVR_B,IVR,B,USA,fo,5.0
IVR_B,IVR,B,USA,fu,5.0
IVR_B,IVR,B,Bangladesh,fc,4.0
IVR_B,IVR,B,Bangladesh,fr,5.0
IVR_B,IVR,B,Bangladesh,fo,5.0
IVR_B,IVR,B,Bangladesh,fu,5.0
IVR_C,IVR,C,Germany,fc,4.0
IVR_C,IVR,C,Germany,fr,1.0
IVR_C,IVR,C,Germany,fo,5.0
IVR_C,IVR,C,Germany,fu,5.0
IVR_C,IVR,C,USA,fc,4.0
IVR_C,IVR,C,USA,fr,4.0
IVR_C,IVR,C,USA,fo,5.0
IVR_C,IVR,C,USA,fu,5.0
IVR_C,IVR,C,Bangladesh,fc,4.0
IVR_C,IVR,C,Bangladesh,fr,3.0
IVR_C,IVR,C,Bangladesh,fo,3.0
IVR_C,IVR,C,Bangladesh,fu,5.0
IVR_D,IVR,D,Germany,fc,3.0
IVR_D,IVR,D,Germany,fr,5.0
IVR_D,IVR,D,Germany,fo,4.0
IVR_D,IVR,D,Germany,fu,5.0
IVR_D,IVR,D,USA,fc,3.0
IVR_D,IVR,D,USA,fr,4.0
IVR_D,IVR,D,USA,fo,5.0
IVR_D,IVR,D,USA,fu,5.0
IVR_D,IVR,D,Bangladesh,fc,5.0
IVR_D,IVR,D,Bangladesh,fr,4.0
IVR_D,IVR,D,Bangladesh,fo,4.0
IVR_D,IVR,D,Bangladesh,fu,5.0
