country,method,spearman_r,p_value
Bangladesh,fc,0.09240616554505462,0.8617852751596028
Bangladesh,fo,0.5479462546995058,0.26033970643197807
Bangladesh,fr,0.5735294117647058,0.2340331136779968
Bangladesh,fu,-0.492832882906958,0.3206013483265562
Germany,fc,0.23190841426097936,0.6583735712609271
Germany,fo,-0.06172133998483677,0.9075355544798588
Germany,fr,-0.11595420713048968,0.826848213385815
Germany,fu,0.6982532518267538,0.12283946337339596
USA,fc,-0.6172133998483676,0.1917443573414232
USA,fo,-0.13093073414159545,0.8047261622231061
USA,fr,0.5217939320872036,0.28834323380039373
USA,fu,-0.39279220242478635,0.4411128091213043
