country,method,dimension,predicted_score,gold_score
Bangladesh,fc,IDV,48.0,20
Bangladesh,fc,IVR,100.0,20
Bangladesh,fc,LTO,100.0,47
Bangladesh,fc,MAS,50.0,55
Bangladesh,fc,PDI,51.0,80
Bangladesh,fc,UAI,100.0,60
Bangladesh,fo,IDV,50.0,20
Bangladesh,fo,IVR,51.0,20
Bangladesh,fo,LTO,50.0,47
Bangladesh,fo,MAS,50.0,55
Bangladesh,fo,PDI,53.0,80
Bangladesh,fo,UAI,51.0,60
Bangladesh,fr,IDV,51.0,20
Bangladesh,fr,IVR,48.0,20
Bangladesh,fr,LTO,46.0,47
Bangladesh,fr,MAS,50.0,55
Bangladesh,fr,PDI,52.0,80
Bangladesh,fr,UAI,51.0,60
Bangladesh,fu,IDV,54.0,20
Bangladesh,fu,IVR,50.0,20
Bangladesh,fu,LTO,50.0,47
Bangladesh,fu,MAS,50.0,55
Bangladesh,fu,PDI,46.0,80
Bangladesh,fu,UAI,53.0,60
Germany,fc,IDV,47.0,67
Germany,fc,IVR,48.0,40
Germany,fc,LTO,53.0,83
Germany,fc,MAS,49.0,66
Germany,fc,PDI,49.0,35
Germany,fc,UAI,52.0,65
Germany,fo,IDV,49.0,67
Germany,fo,IVR,49.0,40
Germany,fo,LTO,50.0,83
Germany,fo,MAS,50.0,66
Germany,fo,PDI,50.0,35
Germany,fo,UAI,52.0,65
Germany,fr,IDV,53.0,67
Germany,fr,IVR,54.0,40
Germany,fr,LTO,50.0,83
Germany,fr,MAS,46.0,66
Germany,fr,PDI,50.0,35
Germany,fr,UAI,49.0,65
Germany,fu,IDV,50.0,67
Germany,fu,IVR,50.0,40
Germany,fu,LTO,51.0,83
Germany,fu,MAS,49.0,66
Germany,fu,PDI,48.0,35
Germany,fu,UAI,50.0,65
USA,fc,IDV,50.0,91
USA,fc,IVR,49.0,68
USA,fc,LTO,52.0,26
USA,fc,MAS,49.0,62
USA,fc,PDI,50.0,40
USA,fc,UAI,50.0,46
USA,fo,IDV,50.0,91
USA,fo,IVR,50.0,68
USA,fo,LTO,50.0,26
USA,fo,MAS,50.0,62
USA,fo,PDI,50.0,40
USA,fo,UAI,51.0,46
USA,fr,IDV,54.0,91
USA,fr,IVR,50.0,68
USA,fr,LTO,47.0,26
USA,fr,MAS,50.0,62
USA,fr,PDI,51.0,40
USA,fr,UAI,44.0,46
USA,fu,IDV,50.0,91
USA,fu,IVR,50.0,68
USA,fu,LTO,50.0,26
USA,fu,MAS,50.0,62
USA,fu,PDI,51.0,40
USA,fu,UAI,50.0,46
