question_id,dimension,formula_role,country,method,score
PDI_A,PDI,A,Germany,fc,3
PDI_A,PDI,A,Germany,fr,4
PDI_A,PDI,A,Germany,fo,5
PDI_A,PDI,A,Germany,fu,5
PDI_A,PDI,A,USA,fc,4
PDI_A,PDI,A,USA,fr,4
PDI_A,PDI,A,USA,fo,5
PDI_A,PDI,A,USA,fu,2
PDI_A,PDI,A,Bangladesh,fc,4
PDI_A,PDI,A,Bangladesh,fr,3
PDI_A,PDI,A,Bangladesh,fo,5
PDI_A,PDI,A,Bangladesh,fu,2
PDI_B,PDI,B,Germany,fc,2
PDI_B,PDI,B,Germany,fr,4
PDI_B,PDI,B,Germany,fo,5
PDI_B,PDI,B,Germany,fu,5
PDI_B,PDI,B,USA,fc,2
PDI_B,PDI,B,USA,fr,4
PDI_B,PDI,B,USA,fo,5
PDI_B,PDI,B,USA,fu,5
PDI_B,PDI,B,Bangladesh,fc,2
PDI_B,PDI,B,Bangladesh,fr,4
PDI_B,PDI,B,Bangladesh,fo,2
PDI_B,PDI,B,Bangladesh,fu,4
PDI_C,PDI,C,Germany,fc,2
PDI_C,PDI,C,Germany,fr,4
PDI_C,PDI,C,Germany,fo,5
PDI_C,PDI,C,Germany,fu,4
PDI_C,PDI,C,USA,fc,2
PDI_C,PDI,C,USA,fr,4
PDI_C,PDI,C,USA,fo,5
PDI_C,PDI,C,USA,fu,5
PDI_C,PDI,C,Bangladesh,fc,2
PDI_C,PDI,C,Bangladesh,fr,4
PDI_C,PDI,C,Bangladesh,fo,5
PDI_C,PDI,C,Bangladesh,fu,5
PDI_D,PDI,D,Germany,fc,3
PDI_D,PDI,D,Germany,fr,4
PDI_D,PDI,D,Germany,fo,5
PDI_D,PDI,D,Germany,fu,5
PDI_D,PDI,D,USA,fc,3
PDI_D,PDI,D,USA,fr,5
PDI_D,PDI,D,USA,fo,5
PDI_D,PDI,D,USA,fu,5
PDI_D,PDI,D,Bangladesh,fc,3
PDI_D,PDI,D,Bangladesh,fr,4
PDI_D,PDI,D,Bangladesh,fo,5
PDI_D,PDI,D,Bangladesh,fu,5
IDV_A,IDV,A,Germany,fc,4
IDV_A,IDV,A,Germany,fr,5
IDV_A,IDV,A,Germany,fo,5
IDV_A,IDV,A,Germany,fu,5
IDV_A,IDV,A,USA,fc,4
IDV_A,IDV,A,USA,fr,5
IDV_A,IDV,A,USA,fo,5
IDV_A,IDV,A,USA,fu,5
IDV_A,IDV,A,Bangladesh,fc,4
IDV_A,IDV,A,Bangladesh,fr,1
IDV_A,IDV,A,Bangladesh,fo,5
IDV_A,IDV,A,Bangladesh,fu,5
IDV_B,IDV,B,Germany,fc,4
IDV_B,IDV,B,Germany,fr,1
IDV_B,IDV,B,Germany,fo,5
IDV_B,IDV,B,Germany,fu,5
IDV_B,IDV,B,USA,fc,4
IDV_B,IDV,B,USA,fr,5
IDV_B,IDV,B,USA,fo,5
IDV_B,IDV,B,USA,fu,5
IDV_B,IDV,B,Bangladesh,fc,5
IDV_B,IDV,B,Bangladesh,fr,1
IDV_B,IDV,B,Bangladesh,fo,5
IDV_B,IDV,B,Bangladesh,fu,5
IDV_C,IDV,C,Germany,fc,4
IDV_C,IDV,C,Germany,fr,3
IDV_C,IDV,C,Germany,fo,5
IDV_C,IDV,C,Germany,fu,5
IDV_C,IDV,C,USA,fc,4
IDV_C,IDV,C,USA,fr,4
IDV_C,IDV,C,USA,fo,5
IDV_C,IDV,C,USA,fu,5
IDV_C,IDV,C,Bangladesh,fc,4
IDV_C,IDV,C,Bangladesh,fr,1
IDV_C,IDV,C,Bangladesh,fo,5
IDV_C,IDV,C,Bangladesh,fu,5
IDV_D,IDV,D,Germany,fc,3
IDV_D,IDV,D,Germany,fr,4
IDV_D,IDV,D,Germany,fo,5
IDV_D,IDV,D,Germany,fu,5
IDV_D,IDV,D,USA,fc,3
IDV_D,IDV,D,USA,fr,4
IDV_D,IDV,D,USA,fo,5
IDV_D,IDV,D,USA,fu,5
IDV_D,IDV,D,Bangladesh,fc,3
IDV_D,IDV,D,Bangladesh,fr,4
IDV_D,IDV,D,Bangladesh,fo,2
IDV_D,IDV,D,Bangladesh,fu,5
MAS_A,MAS,A,Germany,fc,4
MAS_A,MAS,A,Germany,fr,1
MAS_A,MAS,A,Germany,fo,4
MAS_A,MAS,A,Germany,fu,5
MAS_A,MAS,A,USA,fc,4
MAS_A,MAS,A,USA,fr,4
MAS_A,MAS,A,USA,fo,5
MAS_A,MAS,A,USA,fu,5
MAS_A,MAS,A,Bangladesh,fc,4
MAS_A,MAS,A,Bangladesh,fr,1
MAS_A,MAS,A,Bangladesh,fo,5
MAS_A,MAS,A,Bangladesh,fu,5
MAS_B,MAS,B,Germany,fc,4
MAS_B,MAS,B,Germany,fr,1
MAS_B,MAS,B,Germany,fo,5
MAS_B,MAS,B,Germany,fu,5
MAS_B,MAS,B,USA,fc,4
MAS_B,MAS,B,USA,fr,4
MAS_B,MAS,B,USA,fo,5
MAS_B,MAS,B,USA,fu,5
MAS_B,MAS,B,Bangladesh,fc,5
MAS_B,MAS,B,Bangladesh,fr,1
MAS_B,MAS,B,Bangladesh,fo,5
MAS_B,MAS,B,Bangladesh,fu,5
MAS_C,MAS,C,Germany,fc,4
MAS_C,MAS,C,Germany,fr,4
MAS_C,MAS,C,Germany,fo,5
MAS_C,MAS,C,Germany,fu,4
MAS_C,MAS,C,USA,fc,4
MAS_C,MAS,C,USA,fr,4
MAS_C,MAS,C,USA,fo,5
MAS_C,MAS,C,USA,fu,5
MAS_C,MAS,C,Bangladesh,fc,4
MAS_C,MAS,C,Bangladesh,fr,4
MAS_C,MAS,C,Bangladesh,fo,5
MAS_C,MAS,C,Bangladesh,fu,5
MAS_D,MAS,D,Germany,fc,4
MAS_D,MAS,D,Germany,fr,1
MAS_D,MAS,D,Germany,fo,5
MAS_D,MAS,D,Germany,fu,5
MAS_D,MAS,D,USA,fc,5
MAS_D,MAS,D,USA,fr,5
MAS_D,MAS,D,USA,fo,5
MAS_D,MAS,D,USA,fu,5
MAS_D,MAS,D,Bangladesh,fc,4
MAS_D,MAS,D,Bangladesh,fr,1
MAS_D,MAS,D,Bangladesh,fo,5
MAS_D,MAS,D,Bangladesh,fu,5
UAI_A,UAI,A,Germany,fc,4
UAI_A,UAI,A,Germany,fr,4
UAI_A,UAI,A,Germany,fo,5
UAI_A,UAI,A,Germany,fu,4
UAI_A,UAI,A,USA,fc,4
UAI_A,UAI,A,USA,fr,4
UAI_A,UAI,A,USA,fo,4
UAI_A,UAI,A,USA,fu,5
UAI_A,UAI,A,Bangladesh,fc,4
UAI_A,UAI,A,Bangladesh,fr,4
UAI_A,UAI,A,Bangladesh,fo,5
UAI_A,UAI,A,Bangladesh,fu,5
UAI_B,UAI,B,Germany,fc,4
UAI_B,UAI,B,Germany,fr,1
UAI_B,UAI,B,Germany,fo,5
UAI_B,UAI,B,Germany,fu,5
UAI_B,UAI,B,USA,fc,4
UAI_B,UAI,B,USA,fr,4
UAI_B,UAI,B,USA,fo,5
UAI_B,UAI,B,USA,fu,5
UAI_B,UAI,B,Bangladesh,fc,5
UAI_B,UAI,B,Bangladesh,fr,1
