country,method,spearman_r,p_value
Bangladesh,fc,0.5544369932703277,0.2535615811664182
Bangladesh,fo,0.7717436331412897,0.07220526456911121
Bangladesh,fr,-0.6176470588235294,0.19134184815794816
Bangladesh,fu,-0.5144957554275265,0.2963513933123535
Germany,fc,0.1690308509457033,0.7488684500235265
Germany,fo,-0.13093073414159545,0.8047261622231061
Germany,fr,0.44136741475237473,0.3809392104771887
Germany,fu,0.3086066999241838,0.5517855072529712
USA,fc,-0.8451542547285165,0.034109423167409676
USA,fo,-0.13093073414159545,0.8047261622231061
USA,fr,-0.1543033499620919,0.770381919699268
USA,fu,0.1690308509457033,0.7488684500235265
