country,method,dimension,predicted_score,gold_score
Bangladesh,fc,IDV,48,20
Bangladesh,fc,IVR,49,20
Bangladesh,fc,LTO,52,47
Bangladesh,fc,MAS,51,55
Bangladesh,fc,PDI,51,80
Bangladesh,fc,UAI,51,60
Bangladesh,fo,IDV,47,20
Bangladesh,fo,IVR,50,20
Bangladesh,fo,LTO,50,47
Bangladesh,fo,MAS,50,55
Bangladesh,fo,PDI,53,80
Bangladesh,fo,UAI,50,60
Bangladesh,fr,IDV,53,20
Bangladesh,fr,IVR,54,20
Bangladesh,fr,LTO,47,47
Bangladesh,fr,MAS,47,55
Bangladesh,fr,PDI,49,80
Bangladesh,fr,UAI,46,60
Bangladesh,fu,IDV,50,20
Bangladesh,fu,IVR,50,20
Bangladesh,fu,LTO,51,47
Bangladesh,fu,MAS,50,55
Bangladesh,fu,PDI,48,80
Bangladesh,fu,UAI,50,60
Germany,fc,IDV,49,67
Germany,fc,IVR,50,40
Germany,fc,LTO,53,83
Germany,fc,MAS,50,66
Germany,fc,PDI,50,35
Germany,fc,UAI,50,65
Germany,fo,IDV,50,67
Germany,fo,IVR,50,40
Germany,fo,LTO,50,83
Germany,fo,MAS,49,66
Germany,fo,PDI,50,35
Germany,fo,UAI,50,65
Germany,fr,IDV,55,67
Germany,fr,IVR,50,40
Germany,fr,LTO,51,83
Germany,fr,MAS,47,66
Germany,fr,PDI,50,35
Germany,fr,UAI,47,65
Germany,fu,IDV,50,67
Germany,fu,IVR,50,40
Germany,fu,LTO,50,83
Germany,fu,MAS,51,66
Germany,fu,PDI,49,35
Germany,fu,UAI,51,65
USA,fc,IDV,49,91
USA,fc,IVR,49,68
USA,fc,LTO,54,26
USA,fc,MAS,49,62
USA,fc,PDI,51,40
USA,fc,UAI,49,46
USA,fo,IDV,50,91
USA,fo,IVR,50,68
USA,fo,LTO,50,26
USA,fo,MAS,50,62
USA,fo,PDI,50,40
USA,fo,UAI,51,46
USA,fr,IDV,50,91
USA,fr,IVR,50,68
USA,fr,LTO,52,26
USA,fr,MAS,49,62
USA,fr,PDI,49,40
USA,fr,UAI,50,46
USA,fu,IDV,50,91
USA,fu,IVR,50,68
USA,fu,LTO,50,26
USA,fu,MAS,50,62
USA,fu,PDI,47,40
USA,fu,UAI,51,46
