country,method,spearman_r,p_value
Bangladesh,fc,0.5523003264745422,0.25578515500115984
Bangladesh,fo,-0.4244373438135828,0.4015745538510698
Bangladesh,fr,0.9117647058823529,0.011334724201099126
Bangladesh,fu,0.3985266984930429,0.43385766067017734
Germany,fc,0.4879500364742666,0.3261642353450604
Germany,fo,0.09107651110783746,0.8637629700202579
Germany,fr,0.08696565534786727,0.8698803787001028
Germany,fu,0.15179418517972906,0.7740575031656567
USA,fc,-0.942857142857143,0.004804664723032055
USA,fo,-0.9258200997725515,0.008049893100837698
USA,fr,0.0,1.0
USA,fu,-0.029424494316824982,0.9558759964010901
