country,method,dimension,predicted_score,gold_score
Bangladesh,fc,IDV,49,20
Bangladesh,fc,IVR,51,20
Bangladesh,fc,LTO,50,47
Bangladesh,fc,MAS,50,55
Bangladesh,fc,PDI,51,80
Bangladesh,fc,UAI,52,60
Bangladesh,fo,IDV,52,20
Bangladesh,fo,IVR,51,20
Bangladesh,fo,LTO,51,47
Bangladesh,fo,MAS,50,55
Bangladesh,fo,PDI,50,80
Bangladesh,fo,UAI,52,60
Bangladesh,fr,IDV,48,20
Bangladesh,fr,IVR,45,20
Bangladesh,fr,LTO,50,47
Bangladesh,fr,MAS,50,55
Bangladesh,fr,PDI,55,80
Bangladesh,fr,UAI,56,60
Bangladesh,fu,IDV,50,20
Bangladesh,fu,IVR,50,20
Bangladesh,fu,LTO,50,47
Bangladesh,fu,MAS,50,55
Bangladesh,fu,PDI,50,80
Bangladesh,fu,UAI,51,60
Germany,fc,IDV,51,67
Germany,fc,IVR,51,40
Germany,fc,LTO,51,83
Germany,fc,MAS,49,66
Germany,fc,PDI,49,35
Germany,fc,UAI,49,65
Germany,fo,IDV,51,67
Germany,fo,IVR,49,40
Germany,fo,LTO,52,83
Germany,fo,MAS,50,66
Germany,fo,PDI,52,35
Germany,fo,UAI,52,65
Germany,fr,IDV,42,67
Germany,fr,IVR,44,40
Germany,fr,LTO,52,83
Germany,fr,MAS,46,66
Germany,fr,PDI,48,35
Germany,fr,UAI,48,65
Germany,fu,IDV,51,67
Germany,fu,IVR,49,40
Germany,fu,LTO,51,83
Germany,fu,MAS,50,66
Germany,fu,PDI,51,35
Germany,fu,UAI,53,65
USA,fc,IDV,46,91
USA,fc,IVR,49,68
USA,fc,LTO,54,26
USA,fc,MAS,50,62
USA,fc,PDI,55,40
USA,fc,UAI,52,46
USA,fo,IDV,48,91
USA,fo,IVR,50,68
USA,fo,LTO,51,26
USA,fo,MAS,50,62
USA,fo,PDI,51,40
USA,fo,UAI,50,46
USA,fr,IDV,50,91
USA,fr,IVR,51,68
USA,fr,LTO,50,26
USA,fr,MAS,46,62
USA,fr,PDI,51,40
USA,fr,UAI,46,46
USA,fu,IDV,51,91
USA,fu,IVR,50,68
USA,fu,LTO,50,26
USA,fu,MAS,49,62
USA,fu,PDI,51,40
USA,fu,UAI,52,46
