country,method,hard_alignment,soft_alignment,n
Bangladesh,fc,30.0,48.88888888888889,10
Bangladesh,fo,30.0,65.55555555555556,10
Bangladesh,fr,10.0,41.111111111111114,10
Bangladesh,fu,30.0,71.66666666666667,10
Germany,fc,30.0,58.333333333333336,10
Germany,fo,50.0,72.22222222222223,10
Germany,fr,22.22222222222222,45.67901234567901,9
Germany,fu,50.0,71.66666666666667,10
USA,fc,30.0,54.44444444444444,10
USA,fo,30.0,57.22222222222223,10
USA,fr,30.0,51.66666666666667,10
USA,fu,40.0,63.33333333333333,10
